codigo_da_postagem,nome_portal,texto_da_postagem,texto_do_comentario,sentimento
1,@g1,doação de medula óssea pode ser feita pela veia brasil se torna referência global em registros glo bo 4ndyaof g1,doação de medula óssea pode ser feita pela veia brasil se torna referência global em registros glo bo 4ndyaof g1,POSITIVO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,anistia já eduardo bolsonaro presidente do brasil em 2026,NEUTRO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,bem eles sabem que não passa do stf então a pergunta é pq estão fazendo isso fazer média discurso de perseguição veremos logo mais,NEUTRO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,nunca vi um presidente de câmara mais frouxo que esse ai os caras levam ele no grito depois que a oposição sentou na cadeira dele e fez ele de palhaço levaram tudo o rapaz é fraco demais,NEGATIVO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,enquanto o povo espera por pautas urgentes o congresso prioriza a pec da bandidagem e ainda cogita anistiar golpistas inimigos da democracia,NEGATIVO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,bandido não solta mão de bandido hugomottaaliadodegolpistas,NEGATIVO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,povo brasileiro não tem um dia de sossego nem nos recuperamos da pilantragem de ontem e ja tem uma nova armada,NEGATIVO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,há homens que escolhem caminhos que os levam para a lata de lixo da história é uma questão de escolha,POSITIVO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,e a isenção de imposto nada né não da vantagem a eles né só para o povo mais humilde então pra q né,NEGATIVO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,é isso aí parabéns a direita agradece,POSITIVO
2,@g1,motta decide pautar votação de urgência de projeto de anistia nesta quarta 17 glo bo 46ccqpi g1,parabéns deputado lindemberg pela importante fala fora hugo mota congresso medíocre,POSITIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,a maior ditadura do mundo na coreia do norte nunca tiraram um programa do ar na história pra turma ter noção,POSITIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,fantástico como jornal deixa propositadamente a entender que foi removido coercitivamente do ar pelo governo não foi a empresa apenas não quer mais se associar a ele foi literalmente o que aconteceu ninguém foi processado multado ou preso ele foi demitido,NEGATIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,parabéns se falou mentira sobre o cara ou comemorou a morte dele tem que se fuder mesmo,NEGATIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,pobre jimmy ele com certeza seria protegido pela primeira emenda se marchasse pelas ruas gritando white power com suásticas,NEGATIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,olha ai o país da liberdade,POSITIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,ai vagabundo vem querer falar que tá vivendo uma ditadura no brasil kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,NEGATIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,so basta um homem estadunidense branco morrer p liberdade de expressão acabar kkkkkkkkkkk,NEGATIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,outrora terra da liberdade,POSITIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,é a liberdade que pregam só pra quem é a favor da extrema direita e suas ideias de ódio racismo misoginia a morte não redime o lixo que o tal kirk era mas é preciso calar a boca do óbvio,NEGATIVO
3,@g1,programa de jimmy kimmel é tirado do ar após comentários sobre charlie kirk glo bo 4pp6yz3 g1,num país onde é permitido andar com símbolos nazistas kkkkkkk eua é uma piada mesmo,NEUTRO
4,@g1,investigação de ruy ferraz foi a partir de um recibo de conserto de óculos de sol que o então delegado ruy ferraz fontes conseguiu rastrear os passos de marcos willians herbas camacho o marcola e colocá lo na prisão ainda no fim do século passado a história é contada em,investigação de ruy ferraz foi a partir de um recibo de conserto de óculos de sol que o então delegado ruy ferraz fontes conseguiu rastrear os passos de marcos willians herbas camacho o marcola e colocá lo na prisão ainda no fim do século passado a história é contada em,NEGATIVO
5,@g1,amazônialive mariah carey se apresentou em belém nesta quarta feira 17 ao lado das cantoras paraenses dona onete joelma gaby amarantos e zaynara em um evento que valoriza a floresta amazônica e a cultura local o espetáculo foi realizado em um palco flutuante inspirado,cantou mesmo ou dublou como fez no the town,NEUTRO
5,@g1,amazônialive mariah carey se apresentou em belém nesta quarta feira 17 ao lado das cantoras paraenses dona onete joelma gaby amarantos e zaynara em um evento que valoriza a floresta amazônica e a cultura local o espetáculo foi realizado em um palco flutuante inspirado,ela canta tão perfeitamente e sempre na mesma versão magistral mariah,POSITIVO
5,@g1,amazônialive mariah carey se apresentou em belém nesta quarta feira 17 ao lado das cantoras paraenses dona onete joelma gaby amarantos e zaynara em um evento que valoriza a floresta amazônica e a cultura local o espetáculo foi realizado em um palco flutuante inspirado,quero saber os custos,NEUTRO
5,@g1,amazônialive mariah carey se apresentou em belém nesta quarta feira 17 ao lado das cantoras paraenses dona onete joelma gaby amarantos e zaynara em um evento que valoriza a floresta amazônica e a cultura local o espetáculo foi realizado em um palco flutuante inspirado,prefiro a camila cabello,NEUTRO
5,@g1,amazônialive mariah carey se apresentou em belém nesta quarta feira 17 ao lado das cantoras paraenses dona onete joelma gaby amarantos e zaynara em um evento que valoriza a floresta amazônica e a cultura local o espetáculo foi realizado em um palco flutuante inspirado,lindíssima,NEUTRO
5,@g1,amazônialive mariah carey se apresentou em belém nesta quarta feira 17 ao lado das cantoras paraenses dona onete joelma gaby amarantos e zaynara em um evento que valoriza a floresta amazônica e a cultura local o espetáculo foi realizado em um palco flutuante inspirado,cantou pra quem milhões do povo nesse palco flutuante e nos brasileiros passando necessidade,POSITIVO
5,@g1,amazônialive mariah carey se apresentou em belém nesta quarta feira 17 ao lado das cantoras paraenses dona onete joelma gaby amarantos e zaynara em um evento que valoriza a floresta amazônica e a cultura local o espetáculo foi realizado em um palco flutuante inspirado,ridiculo,NEGATIVO
5,@g1,amazônialive mariah carey se apresentou em belém nesta quarta feira 17 ao lado das cantoras paraenses dona onete joelma gaby amarantos e zaynara em um evento que valoriza a floresta amazônica e a cultura local o espetáculo foi realizado em um palco flutuante inspirado,acho ótimo povo não merece hospital,POSITIVO
6,@g1,trabalhadora doméstica e cadela são atacadas por cão de grande porte e dona do animal sai sem prestar socorro glo bo 467uvfn g1,um dia o cão mansinho pode virar um monstro,NEUTRO
6,@g1,trabalhadora doméstica e cadela são atacadas por cão de grande porte e dona do animal sai sem prestar socorro glo bo 467uvfn g1,se a humanidade dos tempos antigos não fosse domesticar lobos nossa vida estava bem melhor a única coisa que eles são bons é de caça,POSITIVO
7,@g1,e teve falsete mariah carey se apresentou nesta quarta feira 17 em belém do pará no amazônialive festival que celebra a força da amazônia a diva pop cantou clássicos incluindo emotions com direito a falsete marca registrada da cantora sobre as águas do rio,isso é registro de apitoooo não é falsete,NEGATIVO
8,@g1,mariah carey canta my all no amazônia live glo bo 4ntxeyc g1,canta entre muitas aspas,NEUTRO
9,@g1,é água de chuva é banho de cheiro dona onete gaby amarantos joelma e zaynara cantaram banzeiro em uma apresentação única nesta quarta feira 17 em belém num palco flutuante inspirado na vitória régia símbolo da região o show reforça a importância da floresta em,banda do chaves,NEUTRO
9,@g1,é água de chuva é banho de cheiro dona onete gaby amarantos joelma e zaynara cantaram banzeiro em uma apresentação única nesta quarta feira 17 em belém num palco flutuante inspirado na vitória régia símbolo da região o show reforça a importância da floresta em,não dá pra apoiar uma parada dessas,NEGATIVO
9,@g1,é água de chuva é banho de cheiro dona onete gaby amarantos joelma e zaynara cantaram banzeiro em uma apresentação única nesta quarta feira 17 em belém num palco flutuante inspirado na vitória régia símbolo da região o show reforça a importância da floresta em,cantando para ninguém uma forma horrenda de gastar dinheiro publico que poderia ajudar a população pobre do lugar esse pessoal tem nojo de pobre por isso que fizeram longe de tudo só para gringo ver,NEGATIVO
9,@g1,é água de chuva é banho de cheiro dona onete gaby amarantos joelma e zaynara cantaram banzeiro em uma apresentação única nesta quarta feira 17 em belém num palco flutuante inspirado na vitória régia símbolo da região o show reforça a importância da floresta em,enquanto isso o povo mijando e cagando no rio e depois pegando a mesma água com balde pra tomar banho e cozinhar,NEGATIVO
10,@g1,mas quando chego no pará direto de um palco flutuante inspirado na vitória régia símbolo da região joelma cantou o clássico voando pro pará em uma apresentação única nesta quarta feira 17 em belém além dela dona onete gaby amarantos e zaynara se apresentam ao,lixo musical,NEUTRO
11,@g1,gaby amarantos canta ex mai love no amazônia live glo bo 4ntxeyc g1,os bichos nos shows,NEUTRO
11,@g1,gaby amarantos canta ex mai love no amazônia live glo bo 4ntxeyc g1,quanto custou a construção desse palco,NEUTRO
11,@g1,gaby amarantos canta ex mai love no amazônia live glo bo 4ntxeyc g1,pq não mostra o público,NEGATIVO
11,@g1,gaby amarantos canta ex mai love no amazônia live glo bo 4ntxeyc g1,que ideia horrível esse palco,NEGATIVO
11,@g1,gaby amarantos canta ex mai love no amazônia live glo bo 4ntxeyc g1,isso deveria ser crime ambiental,NEGATIVO
11,@g1,gaby amarantos canta ex mai love no amazônia live glo bo 4ntxeyc g1,quantos milhões de lei roubanet essa diva merece,POSITIVO
11,@g1,gaby amarantos canta ex mai love no amazônia live glo bo 4ntxeyc g1,kkkkkkkkkkkkklkklkklkkklkkkkkkkkkkkk,NEUTRO
11,@g1,gaby amarantos canta ex mai love no amazônia live glo bo 4ntxeyc g1,essa chata só tem essa música afff,NEUTRO
12,@g1,cigarro convencional e vape elevam risco de diabetes mostra estudo glo bo 41t7npf g1,cigarro de maconha financia traficantes e o crime organizado,NEGATIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,se depender do usuário da cptm esse senhor não será eleito nem pra síndico em sp ele piorou o serviço e ferrou a vida do trabalhador,NEGATIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,não dá pra acreditar em uma palavra que sai da boca de um miliciano que abafou um esquema bilionário de corrupção no estado de sp além de destruir educação saúde transportes e distribuir terras do povo pra invasor e latifundiário vai acabar em cana com o saco de bosta,NEGATIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,precisamos derrotar tarcínico o governador das execuções,NEUTRO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,parece couro de pica vai pra frente e pra trás não adianta karaiiiii é lula 2026,NEGATIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,todas as pesquisas apontam lula vencendo qq candidato além do que tarcísio tem muito telhado de vidro né,NEGATIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,do mesmo jeito que o senhor disse que não acredita na justiça brasileira eu não acredito em nada que o senhor fala,NEUTRO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,infelizmente o estado de são paulo é cheio de jumento e ele vai se reeleger,NEGATIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,curiosamente depois que uma pesquisa mostrou que ele perde ainda no primeiro turno,POSITIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,kassab manda tgf obedece,NEUTRO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,sabe que vai perder pro lula mesmo é melhor ser reeleito pelos trouxas de são paulo,POSITIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,ao menos uma notícia boa que fique por sp mesmo,POSITIVO
13,@g1,tarcísio volta a negar disputa pela presidência e diz que vai tentar reeleição em sp glo bo 3w0r5p3 g1,acorda povo paulista só pedágio corrupção e morte,NEGATIVO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,jurava que era por causa do campos neto a vivia falando isso,NEGATIVO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,pq os bancos ganham com isso próxima pergunta,NEUTRO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,porque a farinha lima gosta próxima,POSITIVO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,custo pt,NEUTRO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,porque querem uma recessão,NEGATIVO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,por que são umas cadela do mercado financeiro inimigos do povo,NEGATIVO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,porque lula é um populista canalha irresponsável,NEGATIVO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,o ibge está maquiando os números de nossa economia,NEUTRO
14,@g1,por que o copom manteve a selic em 15 após deflação e melhora das expectativas do mercado glo bo 4nbca6t g1,pq essa deflação é falsa ora,NEUTRO
